file,class,type,wmc,lcom,lcom*,loc
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\GPL\DMG\src\dmg\java\mobiledevices\dmg\decmpfs\DecmpfsStates.java,mobiledevices.dmg.decmpfs.DecmpfsStates,class,0,0,NaN,6
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\AddReferencesInSwitchTable.java,AddReferencesInSwitchTable,class,8,1,0,42
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\SystemEmulation\ghidra_scripts\StandAloneEmuExampleScript.java,StandAloneEmuExampleScript,class,2,0,0,45
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\AutoRenameSimpleLabels.java,AutoRenameSimpleLabels,class,22,1,0,74
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\ReloadSleighLanguage.java,ReloadSleighLanguage,class,3,0,0,16
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\IterateFunctionsScript.java,IterateFunctionsScript,class,10,3,0,47
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\FunctionID\ghidra_scripts\FIDHashCurrentFunction.java,FIDHashCurrentFunction,class,5,0,0,25
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\CondenseFillerBytes.java,CondenseFillerBytes,class,21,1,0.5,96
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\FixupNoReturnFunctionsScript.java,FixupNoReturnFunctionsScript$IssueEntries,interface,3,3,0,5
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\BSim\ghidra_scripts\CreateH2BSimDatabaseScript.java,CreateH2BSimDatabaseScript,class,16,1,0.5,109
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\MakeStackRefs.java,MakeStackRefs,class,20,0,0,80
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Decompiler\ghidra_scripts\StringParameterPropagator.java,StringParameterPropagator,class,110,53,0.8484848,434
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\docs\GhidraClass\Debugger\ghidra_scripts\CustomLibraryScript.java,CustomLibraryScript,class,2,0,0,16
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\QueueKind.java,SWIG.QueueKind,class,11,15,0.8333334,34
